Sensor, acceleration x(*1000), acceleration y(*1000), acceleration z(*1000), gyro x, gyro y, gyro z, Hour ,Initial Date: ,08/03/2022 14:10:48.369932 GMT,29940
acc002, 73.00, 46.39, 1075.93, -0.85, -1.28, -0.85,37153,,,
acc002, 75.68, 52.49, 1072.02, -2.01, -3.60, -0.73,37164,,,
acc002, 75.20, 51.76, 1072.02, -2.32, -4.21, -0.67,37175,,,
acc002, 80.08, 50.78, 1063.72, -2.44, -4.52, -0.67,37186,,,
acc002, 76.17, 50.78, 1067.38, -2.32, -3.66, -0.49,37197,,,
acc002, 79.59, 46.14, 1066.16, -1.53, -2.62, -0.61,37208,,,
acc002, 82.03, 56.40, 1073.00, -1.22, -1.95, -0.61,37221,,,
acc002, 80.81, 45.17, 1065.43, -0.79, -1.53, -0.67,37232,,,
acc002, 81.05, 50.05, 1062.26, 0.31, 0.79, -0.73,37243,,,
acc002, 78.12, 52.73, 1071.53, 1.46, 3.72, -0.61,37254,,,
acc002, 78.86, 47.85, 1068.85, 0.49, 1.89, -0.37,37265,,,
acc002, 83.25, 54.69, 1082.76, -0.12, 1.83, 0.43,37276,,,
acc002, 76.66, 47.12, 1067.63, -1.95, -0.92, 0.67,37287,,,
acc002, 78.37, 43.21, 1057.13, -2.62, -0.92, 0.92,37301,,,
acc002, 73.49, 45.41, 1078.86, -2.38, 0.18, 0.49,37312,,,
acc002, 80.57, 51.27, 1090.33, -4.70, -1.77, 0.49,37325,,,
acc002, 71.29, 45.41, 1092.04, -9.22, -5.49, 1.10,37336,,,
acc002, 72.02, 43.70, 1054.93, -11.11, -9.77, 0.98,37347,,,
acc002, 94.48, 63.48, 1092.77, -11.35, -9.16, 1.10,37358,,,
acc002, 56.64, 20.26, 1044.43, -13.43, -10.86, 1.77,37369,,,
acc002, 90.09, 38.09, 1062.99, -7.39, -8.54, 0.18,37380,,,
acc002, 98.63, 56.40, 1098.88, -8.61, -9.52, 0.79,37391,,,
acc002, 88.38, 25.15, 1039.79, -11.66, -10.19, 1.34,37402,,,
acc002, 92.77, 23.44, 1029.30, 0.55, -0.85, -0.49,37413,,,
acc002, 78.61, 33.69, 1083.25, 4.15, 1.83, -1.10,37427,,,
acc002, 97.41, 32.71, 1070.31, 3.78, -3.54, -1.40,37438,,,
acc002, 87.89, 35.40, 1074.71, 3.11, -0.18, -0.79,37449,,,
acc002, 93.51, 39.06, 1073.24, 1.04, -0.61, -0.79,37460,,,
acc002, 91.06, 36.38, 1065.19, 0.24, -0.98, -0.61,37472,,,
acc002, 88.38, 32.96, 1072.02, 0.43, -0.61, -0.43,37483,,,
acc002, 92.53, 35.64, 1067.14, 0.24, -0.43, -0.49,37494,,,
acc002, 93.02, 33.20, 1066.65, -0.12, 0.18, -0.43,37508,,,
acc002, 89.84, 38.82, 1078.13, 0.12, 0.92, -0.55,37521,,,
acc002, 90.33, 33.45, 1066.41, 0.24, 0.55, -0.49,37532,,,
acc002, 90.09, 36.13, 1069.58, 0.55, 1.04, -0.55,37543,,,
acc002, 92.29, 34.18, 1061.77, 0.18, 0.49, -0.61,37554,,,
acc002, 85.21, 39.06, 1077.64, 0.79, 1.77, -0.67,37565,,,
acc002, 88.38, 35.40, 1070.31, 0.00, 0.61, -0.55,37576,,,
acc002, 91.06, 31.01, 1063.72, -0.12, 0.24, -0.43,37587,,,
acc002, 90.33, 33.94, 1065.43, 0.18, 1.22, -0.61,37598,,,
acc002, 89.36, 36.13, 1068.85, 0.49, 1.59, -0.61,37609,,,
acc002, 87.16, 40.28, 1073.97, 0.55, 1.83, -0.61,37622,,,
acc002, 88.13, 34.18, 1072.02, 1.10, 3.60, -0.73,37633,,,
acc002, 88.13, 37.84, 1064.94, 0.43, 2.62, -0.73,37644,,,
acc002, 84.96, 33.45, 1071.78, 1.71, 4.27, -0.85,37655,,,
acc002, 83.74, 32.96, 1068.36, 0.79, 2.20, -0.85,37667,,,
acc002, 85.69, 37.60, 1061.52, 1.22, 2.44, -1.04,37678,,,
acc002, 83.98, 34.91, 1068.36, 1.34, 2.44, -1.04,37689,,,
acc002, 84.96, 35.16, 1065.43, 1.34, 3.48, -1.10,37700,,,
acc002, 79.35, 35.64, 1073.00, 2.08, 2.56, -1.22,37714,,,
acc002, 84.23, 34.91, 1064.70, 3.17, 2.62, -1.40,37728,,,
acc002, 73.97, 28.08, 1042.72, 3.48, 2.32, -1.59,37738,,,
acc002, 82.03, 43.70, 1064.70, 8.79, 6.35, -2.75,37749,,,
acc002, 83.25, 38.82, 1054.93, 8.06, 5.98, -2.38,37760,,,
acc002, 81.79, 40.04, 1042.24, 7.69, 6.53, -2.32,37771,,,
acc002, 81.05, 56.40, 1089.60, 7.93, 7.63, -2.50,37782,,,
acc002, 77.88, 39.31, 1059.08, 2.38, 3.72, -1.46,37793,,,
acc002, 83.74, 47.36, 1050.05, 2.81, 4.33, -1.40,37804,,,
acc002, 78.86, 40.04, 1052.25, 5.37, 9.58, -1.46,37815,,,
acc002, 97.17, 55.66, 1039.79, 7.32, 14.65, -0.98,37829,,,
acc002, 59.81, 48.10, 1096.44, 6.59, 20.20, 0.55,37840,,,
acc002, 52.25, 48.83, 1068.12, 4.58, 12.88, 0.85,37851,,,
acc002, 62.01, 53.22, 1073.97, 5.31, 11.35, 0.24,37862,,,
acc002, 52.98, 51.27, 1077.88, 4.82, 8.18, -0.31,37874,,,
acc002, 57.37, 55.91, 1078.13, 3.60, 5.74, -1.22,37885,,,
acc002, 55.66, 58.84, 1080.08, 2.50, 2.75, -1.40,37896,,,
acc002, 57.37, 58.11, 1073.97, 1.46, 0.98, -1.28,37907,,,
acc002, 54.93, 47.85, 1073.73, 1.04, -0.49, -2.08,37921,,,
acc002, 74.22, 51.76, 1078.13, 1.16, -4.33, -3.48,37934,,,
acc002, 72.51, 69.34, 1066.65, 0.61, -3.42, -2.69,37945,,,
acc002, 63.48, 54.93, 1069.09, 0.24, -0.61, -1.04,37956,,,
acc002, 62.74, 49.07, 1073.24, 0.37, -0.43, -1.10,37967,,,
acc002, 63.96, 67.87, 1064.45, 0.49, -0.79, -1.65,37978,,,
acc002, 52.49, 66.65, 1073.49, -0.12, 0.79, -0.49,37989,,,
acc002, 57.13, 65.43, 1075.44, -0.73, 0.00, -0.43,38000,,,
acc002, 83.98, 101.81, 1114.01, -34.36, -48.22, 4.27,38011,,,
acc002, 84.47, 27.59, 1044.43, 2.50, 1.22, -2.08,38024,,,
acc002, 62.99, 88.62, 1081.79, 1.53, 3.23, -1.59,38035,,,
acc002, 71.04, 59.08, 1073.00, -0.37, -0.06, -1.16,38046,,,
acc002, 74.71, 44.68, 1065.67, 0.12, 0.31, -0.73,38058,,,
acc002, 64.94, 37.60, 1029.79, 0.49, 0.49, -0.85,38069,,,
